latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.52,13.419998,38.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),soil_temperature_0cm (°C),soil_temperature_18cm (°C),soil_moisture_0_to_1cm (m³/m³),soil_moisture_9_to_27cm (m³/m³)
2025-02-08T00:00,1.0,69,0.00,1.6,4.1,0.315,0.324
2025-02-08T01:00,0.5,73,0.00,1.3,3.9,0.315,0.324
2025-02-08T02:00,0.2,77,0.00,0.9,3.8,0.315,0.324
2025-02-08T03:00,0.6,73,0.00,1.5,3.7,0.316,0.325
2025-02-08T04:00,0.6,74,0.00,1.6,3.6,0.316,0.325
2025-02-08T05:00,0.6,73,0.00,1.5,3.5,0.316,0.325
2025-02-08T06:00,0.7,71,0.00,1.1,3.4,0.316,0.325
2025-02-08T07:00,0.4,72,0.00,0.4,3.3,0.316,0.325
2025-02-08T08:00,0.6,72,0.00,1.8,3.2,0.316,0.325
2025-02-08T09:00,1.3,72,0.00,3.5,3.2,0.316,0.325
2025-02-08T10:00,2.2,69,0.00,6.0,3.2,0.316,0.325
2025-02-08T11:00,3.5,65,0.00,8.2,3.3,0.316,0.325
2025-02-08T12:00,4.3,62,0.00,9.0,3.6,0.315,0.325
2025-02-08T13:00,5.0,60,0.00,8.8,3.9,0.315,0.325
2025-02-08T14:00,5.1,60,0.00,7.6,4.2,0.315,0.325
2025-02-08T15:00,4.8,62,0.00,5.6,4.4,0.315,0.325
2025-02-08T16:00,4.3,63,0.00,3.9,4.6,0.315,0.325
2025-02-08T17:00,3.8,67,0.00,3.2,4.6,0.315,0.325
2025-02-08T18:00,3.0,71,0.00,2.4,4.5,0.315,0.325
2025-02-08T19:00,2.2,73,0.00,1.8,4.4,0.316,0.325
2025-02-08T20:00,1.7,74,0.00,1.6,4.3,0.316,0.325
2025-02-08T21:00,1.2,76,0.00,0.9,4.2,0.316,0.325
2025-02-08T22:00,0.9,77,0.00,0.5,4.0,0.316,0.325
2025-02-08T23:00,0.5,79,0.00,0.2,3.8,0.316,0.325
2025-02-09T00:00,0.2,80,0.00,0.0,3.6,0.316,0.325
2025-02-09T01:00,-0.0,81,0.00,0.0,3.4,0.316,0.325
2025-02-09T02:00,-0.2,81,0.00,-0.0,3.2,0.316,0.325
2025-02-09T03:00,-0.3,81,0.00,-0.0,3.1,0.316,0.325
2025-02-09T04:00,-0.5,81,0.00,-0.1,2.9,0.316,0.325
2025-02-09T05:00,-0.6,82,0.00,-0.2,2.8,0.316,0.325
2025-02-09T06:00,-0.7,82,0.00,-0.4,2.7,0.315,0.325
2025-02-09T07:00,-0.9,82,0.00,-0.5,2.5,0.315,0.325
2025-02-09T08:00,-0.8,81,0.00,-0.0,2.4,0.316,0.325
2025-02-09T09:00,-0.2,77,0.00,2.0,2.3,0.315,0.325
2025-02-09T10:00,0.8,73,0.00,4.1,2.3,0.315,0.325
2025-02-09T11:00,1.9,68,0.00,6.7,2.4,0.315,0.325
2025-02-09T12:00,2.9,64,0.00,8.2,2.7,0.315,0.325
2025-02-09T13:00,3.6,61,0.00,8.2,3.0,0.315,0.325
2025-02-09T14:00,3.8,61,0.00,7.0,3.3,0.315,0.325
2025-02-09T15:00,3.7,62,0.00,5.1,3.6,0.315,0.324
2025-02-09T16:00,3.4,64,0.00,3.0,3.8,0.315,0.324
2025-02-09T17:00,2.7,70,0.00,2.1,3.8,0.315,0.324
2025-02-09T18:00,1.9,73,0.00,1.5,3.8,0.315,0.324
2025-02-09T19:00,1.4,75,0.00,1.3,3.7,0.315,0.324
2025-02-09T20:00,1.0,77,0.00,0.7,3.6,0.315,0.324
2025-02-09T21:00,0.6,77,0.00,0.5,3.5,0.315,0.324
2025-02-09T22:00,0.3,77,0.00,0.3,3.3,0.315,0.324
2025-02-09T23:00,0.2,76,0.00,0.2,3.2,0.315,0.324
2025-02-10T00:00,0.1,76,0.00,0.3,3.0,0.315,0.324
2025-02-10T01:00,-0.0,77,0.00,0.0,2.9,0.315,0.324
2025-02-10T02:00,-0.0,78,0.00,0.0,2.8,0.315,0.324
2025-02-10T03:00,0.1,77,0.00,0.2,2.6,0.315,0.324
2025-02-10T04:00,0.1,77,0.00,0.2,2.5,0.315,0.324
2025-02-10T05:00,0.1,77,0.00,0.3,2.4,0.315,0.324
2025-02-10T06:00,0.1,76,0.00,0.5,2.4,0.315,0.324
2025-02-10T07:00,-0.1,76,0.00,0.4,2.3,0.315,0.325
2025-02-10T08:00,-0.1,75,0.00,1.3,2.2,0.315,0.325
2025-02-10T09:00,0.4,71,0.00,3.2,2.2,0.315,0.325
2025-02-10T10:00,1.3,66,0.00,5.5,2.3,0.315,0.325
2025-02-10T11:00,2.2,61,0.00,7.1,2.5,0.315,0.325
2025-02-10T12:00,2.8,58,0.00,7.7,2.8,0.315,0.325
2025-02-10T13:00,3.2,56,0.00,7.4,3.1,0.315,0.325
2025-02-10T14:00,3.5,54,0.00,6.5,3.4,0.315,0.325
2025-02-10T15:00,3.3,53,0.00,4.6,3.6,0.315,0.325
2025-02-10T16:00,1.8,60,0.00,0.8,2.2,0.311,0.322
2025-02-10T17:00,0.9,64,0.00,-0.0,2.2,0.311,0.322
2025-02-10T18:00,0.3,63,0.00,-0.1,2.2,0.311,0.322
2025-02-10T19:00,-0.1,65,0.00,-0.1,2.1,0.311,0.322
2025-02-10T20:00,-0.6,66,0.00,-0.5,2.0,0.311,0.322
2025-02-10T21:00,-1.1,68,0.00,-1.0,1.9,0.311,0.322
2025-02-10T22:00,-1.4,68,0.00,-1.1,1.9,0.311,0.322
2025-02-10T23:00,-1.7,69,0.00,-1.2,1.8,0.311,0.322
2025-02-11T00:00,-2.0,70,0.00,-1.6,1.7,0.310,0.322
2025-02-11T01:00,-2.4,72,0.00,-2.2,1.6,0.310,0.322
2025-02-11T02:00,-2.7,72,0.00,-2.6,1.5,0.310,0.322
2025-02-11T03:00,-2.9,72,0.00,-2.8,1.4,0.310,0.322
2025-02-11T04:00,-3.1,72,0.00,-2.9,1.4,0.309,0.322
2025-02-11T05:00,-3.2,73,0.00,-2.9,1.3,0.309,0.321
2025-02-11T06:00,-3.3,73,0.00,-3.0,1.3,0.309,0.321
2025-02-11T07:00,-3.4,73,0.00,-2.9,1.2,0.309,0.321
2025-02-11T08:00,-3.0,71,0.00,-1.9,1.2,0.309,0.321
2025-02-11T09:00,-2.3,68,0.00,-0.7,1.1,0.309,0.321
2025-02-11T10:00,-1.2,64,0.00,0.6,1.1,0.309,0.321
2025-02-11T11:00,-0.2,61,0.00,1.8,1.1,0.309,0.321
2025-02-11T12:00,0.7,58,0.00,2.0,1.0,0.310,0.320
2025-02-11T13:00,1.3,56,0.00,1.7,1.0,0.310,0.320
2025-02-11T14:00,1.4,56,0.00,1.4,1.0,0.311,0.320
2025-02-11T15:00,1.1,58,0.00,0.2,1.0,0.311,0.320
2025-02-11T16:00,0.6,60,0.00,-0.1,1.0,0.312,0.320
2025-02-11T17:00,0.1,62,0.00,-0.2,1.0,0.312,0.320
2025-02-11T18:00,-0.4,64,0.00,-0.7,1.0,0.312,0.320
2025-02-11T19:00,-0.9,67,0.00,-1.0,1.0,0.311,0.320
2025-02-11T20:00,-1.4,69,0.00,-1.4,0.9,0.311,0.320
2025-02-11T21:00,-1.8,72,0.00,-1.7,0.9,0.310,0.320
2025-02-11T22:00,-2.3,74,0.00,-2.1,0.9,0.310,0.320
2025-02-11T23:00,-2.7,76,0.00,-2.4,0.9,0.310,0.320
2025-02-12T00:00,-2.9,77,0.00,-2.5,0.9,0.310,0.320
2025-02-12T01:00,-2.9,78,0.00,-2.3,0.9,0.310,0.320
2025-02-12T02:00,-2.8,78,0.00,-2.0,0.9,0.309,0.319
2025-02-12T03:00,-2.6,78,0.00,-1.7,0.9,0.309,0.319
2025-02-12T04:00,-2.6,79,0.00,-1.8,0.9,0.309,0.319
2025-02-12T05:00,-2.5,79,0.00,-2.0,0.8,0.309,0.319
2025-02-12T06:00,-2.4,79,0.00,-2.0,0.8,0.309,0.319
2025-02-12T07:00,-2.2,77,0.00,-1.8,0.8,0.309,0.319
2025-02-12T08:00,-1.9,75,0.00,-1.3,0.8,0.309,0.319
2025-02-12T09:00,-1.6,75,0.00,-1.0,0.7,0.309,0.319
2025-02-12T10:00,-1.5,78,0.50,-0.7,0.7,0.309,0.319
2025-02-12T11:00,-1.3,83,0.50,-0.5,0.7,0.310,0.319
2025-02-12T12:00,-1.2,87,0.50,-0.4,0.7,0.310,0.319
2025-02-12T13:00,-1.1,90,2.30,-0.3,0.7,0.310,0.319
2025-02-12T14:00,-1.0,93,2.30,-0.4,0.7,0.311,0.319
2025-02-12T15:00,-0.9,95,2.30,-0.4,0.7,0.311,0.319
2025-02-12T16:00,-0.7,96,0.90,-0.4,0.7,0.311,0.319
2025-02-12T17:00,-0.6,95,0.90,-0.4,0.6,0.312,0.319
2025-02-12T18:00,-0.5,95,0.90,-0.4,0.6,0.312,0.319
2025-02-12T19:00,-0.4,95,0.20,-0.4,0.6,0.312,0.319
2025-02-12T20:00,-0.4,96,0.20,-0.4,0.6,0.312,0.319
2025-02-12T21:00,-0.4,96,0.20,-0.4,0.6,0.312,0.319
2025-02-12T22:00,-0.5,96,0.40,-0.4,0.6,0.312,0.319
2025-02-12T23:00,-0.6,97,0.40,-0.5,0.6,0.313,0.318
2025-02-13T00:00,-0.7,97,0.40,-0.5,0.6,0.313,0.318
2025-02-13T01:00,-0.8,97,0.10,-0.5,0.6,0.313,0.318
2025-02-13T02:00,-0.9,97,0.10,-0.6,0.6,0.313,0.318
2025-02-13T03:00,-1.0,97,0.10,-0.6,0.6,0.313,0.318
2025-02-13T04:00,-1.0,97,0.00,-0.6,0.6,0.313,0.318
2025-02-13T05:00,-1.0,97,0.00,-0.6,0.6,0.313,0.318
2025-02-13T06:00,-1.0,97,0.00,-0.5,0.6,0.313,0.318
2025-02-13T07:00,-0.8,96,0.00,-0.4,0.6,0.313,0.318
2025-02-13T08:00,-0.6,95,0.00,-0.3,0.6,0.313,0.318
2025-02-13T09:00,-0.4,94,0.00,-0.2,0.6,0.314,0.318
2025-02-13T10:00,-0.2,92,0.00,0.0,0.6,0.316,0.318
2025-02-13T11:00,-0.0,90,0.00,0.3,0.6,0.320,0.318
2025-02-13T12:00,0.1,89,0.00,0.5,0.6,0.322,0.318
2025-02-13T13:00,0.2,87,0.00,0.6,0.7,0.319,0.316
2025-02-13T14:00,0.2,86,0.00,0.4,0.7,0.318,0.316
2025-02-13T15:00,0.1,86,0.00,0.1,0.7,0.317,0.316
2025-02-13T16:00,-0.0,86,0.00,0.0,0.7,0.316,0.316
2025-02-13T17:00,-0.1,86,0.00,-0.0,0.7,0.316,0.316
2025-02-13T18:00,-0.3,85,0.00,-0.1,0.7,0.315,0.316
2025-02-13T19:00,-0.4,83,0.00,-0.1,0.7,0.315,0.316
2025-02-13T20:00,-0.4,80,0.00,-0.2,0.7,0.314,0.316
2025-02-13T21:00,-0.6,78,0.00,-0.3,0.7,0.314,0.316
2025-02-13T22:00,-1.0,79,0.00,-0.6,0.7,0.314,0.316
2025-02-13T23:00,-1.4,80,0.00,-0.9,0.7,0.313,0.316
2025-02-14T00:00,-1.8,82,0.00,-1.2,0.7,0.313,0.316
2025-02-14T01:00,-2.0,83,0.00,-1.4,0.7,0.313,0.316
2025-02-14T02:00,-2.1,83,0.00,-1.5,0.7,0.313,0.316
2025-02-14T03:00,-2.2,84,0.00,-1.6,0.7,0.313,0.316
2025-02-14T04:00,-2.1,85,0.00,-1.5,0.7,0.313,0.316
2025-02-14T05:00,-1.9,86,0.00,-1.4,0.7,0.312,0.316
2025-02-14T06:00,-1.7,86,0.00,-1.2,0.7,0.312,0.316
2025-02-14T07:00,-1.4,86,0.00,-1.0,0.7,0.312,0.316
2025-02-14T08:00,-1.0,85,0.00,-0.6,0.6,0.312,0.316
2025-02-14T09:00,-0.7,84,0.00,-0.3,0.6,0.312,0.316
2025-02-14T10:00,-0.3,81,0.00,0.2,0.6,0.314,0.316
2025-02-14T11:00,0.1,78,0.00,0.7,0.6,0.316,0.316
2025-02-14T12:00,0.4,76,0.00,1.0,0.6,0.318,0.316
2025-02-14T13:00,0.5,75,0.00,0.9,0.6,0.318,0.316
2025-02-14T14:00,0.5,75,0.00,0.6,0.6,0.316,0.316
2025-02-14T15:00,0.4,76,0.00,0.3,0.6,0.315,0.316
2025-02-14T16:00,0.2,79,0.00,0.1,0.6,0.314,0.316
2025-02-14T17:00,-0.0,84,0.00,0.0,0.6,0.314,0.316
2025-02-14T18:00,-0.2,87,0.00,-0.1,0.6,0.314,0.316
2025-02-14T19:00,-0.2,88,0.00,-0.1,0.6,0.314,0.316
2025-02-14T20:00,-0.1,89,0.00,-0.2,0.6,0.314,0.316
2025-02-14T21:00,-0.1,89,0.00,-0.2,0.6,0.314,0.316
2025-02-14T22:00,-0.2,89,0.00,-0.3,0.6,0.314,0.316
2025-02-14T23:00,-0.4,90,0.00,-0.4,0.6,0.313,0.316
